Department,Page Title,Box Title,Box Subtitle,Box Text,Box Image Url,Box Image Alt,Page URL
International Relations,Research,New books, Latest publications from the IR faculty,None,https://www.lse.ac.uk/international-relations/assets/images/research/colourful-bookshelves-747x420px-16-9.jpg,colourful-bookshelves-747x420px-16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Research on IR Blog, Read the latest research articles from our department on the IR blog,None,https://www.lse.ac.uk/international-relations/assets/images/generic/students-with-globe-747-x-560-4-3.jpg,students-with-globe 747 x 560 4-3,https://www.lse.ac.uk//international-relations/research
International Relations,Research,IR MPhil/PhD programme, Find out about our research degree,None,https://www.lse.ac.uk/international-relations/assets/images/generic/fisheye-city-phd-handbook-747-x-420-16-9.jpg,fisheye-city-phd-handbook-747 x 420 16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Research Community, Meet our MPhil/PhD students,None,https://www.lse.ac.uk/international-relations/assets/images/lse/LSE-students-from-above-747x420.jpg,LSE_students_from_above_747x420,https://www.lse.ac.uk//international-relations/research
International Relations,Research,PhD Job Market Candidates, Find out more about our PhD candidates who are entering the job market,None,https://www.lse.ac.uk/international-relations/assets/images/research/job-market-iStock-network-diversity-747x420-16-9.jpg,job-market-iStock-network-diversity-747x420-16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Researcher Profiles: Q&As with our PhD students, Read about their current research,None,https://www.lse.ac.uk/international-relations/assets/images/lse-people/researchers-collage-747x420px-16-9.png,researchers-collage-747x420px-16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Careers, of LSE IR PhD students,None,https://www.lse.ac.uk/international-relations/assets/images/research/job-market-3-corporate-747x420-16-9.jpg,job-market-3-corporate-747x420-16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Introduction, Find out about our research and our research clusters,None,https://www.lse.ac.uk/international-relations/assets/images/page-thumbnails/research/library-shelves-white-1200x600px-thumb.jpg,library-shelves-white-1200x600px-thumb,https://www.lse.ac.uk//international-relations/research
International Relations,Research,"Our research on International Institutions, Law and Ethics",None,None,https://www.lse.ac.uk/international-relations/assets/images/page-thumbnails/international-criminal-court-1200x600px-thumbnail.jpg,international-criminal-court-1200x600px-thumbnail,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Our research on Theory/Area/History,None,None,https://www.lse.ac.uk/international-relations/assets/images/page-thumbnails/LSE-Library-9389-1200x600px-thumbnail.jpg,LSE-Library-9389-1200x600px-thumbnail,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Our research on International Political Economy,None,None,https://www.lse.ac.uk/international-relations/assets/images/page-thumbnails/bank-1816-1200x600px-thumbnail.jpg,bank-1816-1200x600px-thumbnail,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Our research on Security and Statecraft,None,None,https://www.lse.ac.uk/international-relations/assets/images/page-thumbnails/zaatri-refugee-camp-1200x600px-thumbnail.jpg,zaatri-refugee-camp-1200x600px-thumbnail,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Knowledge Exchange and Outreach, Find out more about the impact of our research,None,https://www.lse.ac.uk/international-relations/assets/images/research/spotlight-impact-header-747x420-16-9.jpg,spotlight-impact-header-747x420-16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Promoting policy reforms in the Philippines by Thinking and Working Politically in development, REF Impact 2021: John Sidel contributed to policy reform advocacy in the Philippines,None,https://www.lse.ac.uk/international-relations/assets/images/research/specific-research/sidel-ref-impact-747x420-16-9.jpg,sidel-ref-impact-747x420-16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Influencing EU policy on international trade agreements, ITPU provided expert analysis on trade agreements for EU's International Trade Committee,None,https://www.lse.ac.uk/international-relations/assets/images/generic/research-impact-influencing-EU-policy-on-international-trade-agreements-747x420-16-9.jpg,esearch-impact-influencing-EU-policy-on-international-trade-agreements-747x420-16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Strengthening global regulation of emerging nanotechnologies, Research has highlighted the importance of transparency and reporting for nanotechnology products,None,https://www.lse.ac.uk/international-relations/assets/images/generic/research-impact-strengthening-global-regulation-of-emerging-nanotechnologies-747x420-16-9.jpg,research-impact-strengthening-global-regulation-of-emerging-nanotechnologies-747x420-16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Strengthening policies to protect human rights and prevent genocide, LSE research influenced EU policies intended to protect human rights and to prevent genocide,None,https://www.lse.ac.uk/international-relations/assets/images/generic/research-impact-strengthening-policies-to-protect-human-rights-and-prevent-genocide-747x420-16-9.jpg,research-impact-strengthening-policies-to-protect-human-rights-and-prevent-genocide-747x420-16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,David Davies of Llandinam [DINAM] Research Fellowship, Find out more,None,https://www.lse.ac.uk/international-relations/assets/images/lse/David-Davies-DINAM-16-9.jpg,David_Davies_DINAM-16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Millennium Journal of International Studies, More about our prestigious student-edited journal,None,https://www.lse.ac.uk/international-relations/assets/images/logos/Millennium-Logo-grey-16.9-747x420.jpeg,Millennium_Logo_grey_16.9_747x420,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Journals and book series, associated with the department. Find out more,None,https://www.lse.ac.uk/international-relations/assets/images/research/books-thick-selective-focus-747x420-16-9.jpg,books-thick-selective-focus-747x420-16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,LSE Research Online," articles, chapters etc from the IR department",None,https://www.lse.ac.uk/international-relations/assets/images/generic/Digital-TV-Wall-747-x-420-16-9.jpg,Digital TV Wall 747 x 420 16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Appointment of academic visitors, Information and how to apply,None,https://www.lse.ac.uk/international-relations/assets/images/generic/waterloo-bridge-brighter-747x420-16-9.jpg,waterloo-bridge-brighter-747x420-16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,LSE Middle East Centre, A central hub for the wide range of research on the Middle East and North Africa carried out at LSE,None,https://www.lse.ac.uk/international-relations/assets/images/logos/centre-logos-16-9/middle-east-centre-logo-747x420-16-9-2.jpg,middle-east-centre-logo-747x420-16-9-2,https://www.lse.ac.uk//international-relations/research
International Relations,Research,LSE IDEAS, Think tank connecting academic knowledge of diplomacy and strategy with the people who use it,None,https://www.lse.ac.uk/international-relations/assets/images/logos/centre-logos-16-9/ideas-logo-747x420-16-9-2.jpg,ideas-logo-747x420-16-9-2,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Phelan United States Centre," A hub for global expertise, analysis and commentary on America",None,https://www.lse.ac.uk/international-relations/assets/images/logos/centre-logos-16-9/phelan-us-centre-logo-747x420-16-9-2.jpg,phelan-us-centre-logo-747x420-16-9-2,https://www.lse.ac.uk//international-relations/research
International Relations,Research,European Foreign Policy Unit, Expertise on a collective European foreign policy,None,None,None,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Global South Unit, Examining the changing role of the South in the global order,None,None,None,https://www.lse.ac.uk//international-relations/research
International Relations,Research,International Trade Policy Unit," Serves the academic, policy, and business community",None,None,None,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Religion and Global Society Unit, Conducting religion-related social science research,None,None,None,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Browse all," LSE IR centres, units and groups",None,None,None,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Follow our new Department page, on LinkedIn,None,https://www.lse.ac.uk/international-relations/assets/images/logos/linkedIn-promo-box-747x420-4-3.jpg,linkedIn-promo-box747x420-4-3,https://www.lse.ac.uk//international-relations/research
International Relations,Current Students,Student news, All the latest information!,Click here to find out what's happening in your department,https://www.lse.ac.uk/international-relations/assets/images/EGI-branded/EGI-4-3/female-students-laughing-EGI-student-news-747x560-4-3.jpg,female-students-laughing-EGI-student-news-747x560-4-3,https://www.lse.ac.uk//international-relations/current-students
International Relations,Current Students,IR student engagement events, Find out more about our great range of student events for you to explore IR outside the classroom,None,https://www.lse.ac.uk/international-relations/assets/images/EGI-branded/EGI-16-9/president-montenegro-selfie-EGI-747x420-16-9.jpg,president-montenegro-selfie-EGI-747x420-16-9,https://www.lse.ac.uk//international-relations/current-students
International Relations,Current Students,Public events, Check them out here.,None,https://www.lse.ac.uk/international-relations/assets/images/events/John-Mearsheimer-by-Nigel-Stead-LSE-Cropped-747x420.jpg,John_Mearsheimer_by_Nigel_Stead_LSE,https://www.lse.ac.uk//international-relations/current-students
International Relations,Current Students,Key Information," Find out about our teaching, exams and assessment and other policies",None,https://www.lse.ac.uk/international-relations/assets/images/generic/books-and-tablet-Cropped-747x420.jpg,books-and-tablet-3742x2500,https://www.lse.ac.uk//international-relations/current-students
International Relations,Current Students,Student Engagement," Find out about the latest news, events, competitions, prizes and other fun stuff",None,https://www.lse.ac.uk/international-relations/assets/images/EGI-branded/EGI-16-9/student-engagement-EGI-welcome-fun-promo-747x420-16-9.jpg,student-engagement-EGI-welcome-fun-promo-747x420-16-9,https://www.lse.ac.uk//international-relations/current-students
International Relations,Current Students,Professional Development Opportunities," Find out about internships, professional development, careers and other opportunities",None,https://www.lse.ac.uk/international-relations/assets/images/generic/Millennium-Bridge-St-Pauls-panorama-747-x-420-16-9.jpg,Millennium-Bridge-St-Pauls-panorama-747 x 420 - 16-9,https://www.lse.ac.uk//international-relations/current-students
International Relations,Current Students,Student Representation, How your voice is heard,None,https://www.lse.ac.uk/international-relations/assets/images/generic/handsair-iStock-16-9.jpg,handsair_iStock_16-9,https://www.lse.ac.uk//international-relations/current-students
International Relations,Current Students,Support, Where to go and who to talk to,None,https://www.lse.ac.uk/international-relations/assets/images/generic/one-to-one-guidance-support-16-9-747x420.jpg,one-to-one-guidance-support-16-9-747x420,https://www.lse.ac.uk//international-relations/current-students
International Relations,Current Students,LSE Life, Discover and develop skills you’ll use as a student and beyond,None,https://www.lse.ac.uk/international-relations/assets/images/lse/LSE-life-space-747x420.jpg,LSE-life-space-747x420,https://www.lse.ac.uk//international-relations/current-students
International Relations,Current Students,Handbooks, for all our programmes,None,https://www.lse.ac.uk/international-relations/assets/images/EGI-branded/EGI-16-9/female-student-studying-laptop-scarf-EGI-747x420-16-9.jpg,female-student-studying-laptop-scarf-EGI-747x420-16-9,https://www.lse.ac.uk//international-relations/current-students
International Relations,Current Students,Wellbeing, How to look after yourself,None,https://www.lse.ac.uk/international-relations/assets/images/generic/wellbeing-16-9-747x420.jpg,wellbeing-16-9-747x420,https://www.lse.ac.uk//international-relations/current-students
International Relations,Current Students,"You Said, We Did", How we are putting students 1st,None,https://www.lse.ac.uk/international-relations/assets/images/logos/putting-students-1st-16-9.jpg,putting-students-1st-16-9,https://www.lse.ac.uk//international-relations/current-students
International Relations,Current Students,Moodle, Our online learning platform,None,https://www.lse.ac.uk/international-relations/assets/images/EGI-branded/EGI-16-9/EGI-students-headphone-laptops-747x420-16-9.jpg,EGI-students-headphone-laptops-747x420-16-9,https://www.lse.ac.uk//international-relations/current-students
International Relations,Current Students,PhD Academy, A dedicated space and services hub for doctoral candidates,None,https://www.lse.ac.uk/international-relations/assets/images/lse/PhD-Academy-Entry-747x420.jpg,PhD-Academy-Entry 747x420,https://www.lse.ac.uk//international-relations/current-students
International Relations,Current Students,Follow our new Department page, on LinkedIn,None,https://www.lse.ac.uk/international-relations/assets/images/logos/linkedIn-promo-box-747x420-4-3.jpg,linkedIn-promo-box747x420-4-3,https://www.lse.ac.uk//international-relations/current-students
International Relations,Alumni,Internship Fund Scheme - hear from our interns about their experiences, The IR alumni community has been integral in improving the experience of our current students,Find out more,https://www.lse.ac.uk/international-relations/assets/images/misc-news/IFS-internship-collage-2020-747x560-4-3.png,IFS-internship-collage-2020-747x560-4-3,https://www.lse.ac.uk//international-relations/alumni
International Relations,Alumni,Featured alumni, Discover more about our featured alumni on our blog,None,https://www.lse.ac.uk/international-relations/assets/images/alumni/featured-alumni-collage-747x420px.jpg,featured-alumni-collage-747x420px,https://www.lse.ac.uk//international-relations/alumni
International Relations,Alumni,Online Certificate Courses, Find out about our online learning opportunities,None,https://www.lse.ac.uk/international-relations/assets/images/generic/girl-book-studying-shutterstock-747x420.jpg,shutterstock_736330324 747x420,https://www.lse.ac.uk//international-relations/alumni
